"","index","easting","northing","slp09c","slp30c","IwahashiPike_NZ_100m_16","MVN_Vs30_NZGD00_allNZ_AhdiAK_noQ3_hyb09c_noisyT_minDist0.0km_v6_crp1.5","MVN_Vs30_NZGD00_allNZ_YongCA_noQ3_noisyT_minDist0.0km_v7_crp1.5","MVN_stDv_NZGD00_allNZ_AhdiAK_noQ3_hyb09c_noisyT_minDist0.0km_v6_crp1.5","MVN_stDv_NZGD00_allNZ_YongCA_noQ3_noisyT_minDist0.0km_v7_crp1.5"
"1",37232,1576479.57905406,5207642.1751025,0.00302716915889492,0.000847734919835845,16,195.907760620117,204.755111694336,0.202367171645164,0.19761261343956
"2",37235,1577000.69241689,5207260.63803707,0.0020781498364624,0.00122278226743994,16,198.660140991211,207.170852661133,0.189955875277519,0.185936942696571
"3",37135,1573314.86393041,5206268.93785135,0.00395421421243982,0.0030376568936043,16,184.114547729492,189.442352294922,0.184950575232506,0.195230469107628
"4",37135,1573807.56416365,5206001.53934116,0.00409388324930921,0.0032142312329269,15,180.515014648438,181.402862548828,0.166584119200706,0.176608964800835
"5",37235,1576829.41653268,5206766.49983865,0.00175470872972519,0.00122278226743994,16,205.289367675781,210.509246826172,0.152972206473351,0.147047773003578
"6",37278,1568063.19504186,5205263.61970792,0.00991778869419462,0.00700508831047093,16,235.442276000977,216.90885925293,0.142930909991264,0.133935198187828
"7",37135,1570917.22776356,5204943.92064389,0.00187687217669381,0.00264071051996929,16,188.453948974609,191.657760620117,0.141382321715355,0.146292626857758
"8",37135,1574075.15954532,5205781.64727707,0.00283545182370285,0.0032142312329269,16,177.065078735352,178.832153320312,0.143491923809052,0.148133412003517
"9",37232,1575746.00957036,5204780.9364579,0.00187104641677145,0.00239684234510737,16,202.302429199219,201.445358276367,0.131046250462532,0.131246328353882
"10",37278,1568039.39959239,5204911.52900546,0.00962416981573781,0.00700508831047093,16,236.134704589844,217.315139770508,0.143963292241096,0.134984329342842
"11",37135,1569630.68820059,5204436.6352327,0.00680166701905377,0.00363585569900472,16,196.538818359375,200.848266601562,0.1175826638937,0.120544090867043
"13",37135,1572930.70146154,5203958.33145709,0.00210333998415624,0.00252062526533007,16,170.98860168457,172.370025634766,0.138689279556274,0.144006699323654
"14",37232,1575661.28513571,5204391.93588531,0.00233694198267014,0.00230488385834511,16,203.430435180664,203.65266418457,0.119185276329517,0.120199702680111
"15",37232,1575674.05012316,5204382.65920133,0.00233694198267014,0.00230488385834511,16,203.430435180664,203.65266418457,0.119185276329517,0.120199702680111
"16",37135,1573064.08405569,5202588.56584104,0.00194610660724208,0.00212532008843773,15,181.346649169922,181.183670043945,0.117561593651772,0.121785990893841
"17",37135,1573064.79364823,5202576.26047759,0.00194610660724208,0.00212532008843773,15,181.346649169922,181.183670043945,0.117561593651772,0.121785990893841
"18",37135,1574197.587629,5201954.51319505,0.00317720748062082,0.00288554307293021,16,192.708770751953,193.930404663086,0.135509073734283,0.14290976524353
"19",37135,1574489.31452936,5202606.07213966,0.00346172699715538,0.00288554307293021,16,199.618545532227,203.065460205078,0.137101799249649,0.144716814160347
"20",37506,1572807.20589738,5199631.28727801,0.000717902650877601,0.00159481792844091,16,211.128829956055,208.905563354492,0.136748552322388,0.133049756288528
"21",37135,1573821.00325556,5200060.8972128,0.00204908724407755,0.00188536220354692,16,207.925994873047,208.968017578125,0.138490900397301,0.144308418035507
"22",37506,1572831.09558711,5199409.30141536,0.0022357237203826,0.00159481792844091,16,212.157287597656,210.284118652344,0.132639959454536,0.129677876830101
