Depth,Qc,Fs,u
0.02,7.5,0.0,0.0006
0.04,9.376,0.0,0.0002
0.06,15.179,0.0,0.001
0.08,17.84,0.001,-0.0001
0.1,9.052,0.021,-0.0007
0.12,11.302,0.034,0.0003
0.14,15.183,0.015,0.0015
0.16,16.416,0.02,0.0004
0.18,18.988,0.054,0.0022
0.2,22.941,0.063,0.0012
0.22,24.681,0.026,0.0001
0.24,24.681,0.026,0.0001
0.26,25.005,0.056,-0.0021
0.28,22.754,0.098,0.0002
0.3,20.646,0.101,-0.0002
0.32,19.671,0.101,-0.0015
0.34,17.751,0.21,0.0006
0.36,17.751,0.203,0.0003
0.38,17.751,0.137,-0.0014
0.4,14.726,0.127,-0.0022
0.42,14.891,0.123,0.0004
0.44,13.819,0.122,0.0013
0.46,13.37,0.112,-0.0009
0.48,13.291,0.07,-0.0047
0.5,9.377,0.073,-0.0001
0.52,5.493,0.113,0.0022
0.54,3.58,0.161,-0.0009
0.56,2.78,0.151,-0.0023
0.58,2.052,0.162,0.0154
0.6,2.052,0.159,0.0206
0.62,1.811,0.15,0.0498
0.64,1.814,0.15,0.0498
0.66,1.753,0.102,0.0245
0.68,1.753,0.07,-0.0069
0.7,1.659,0.059,-0.0159
0.72,1.639,0.046,-0.0075
0.74,1.7,0.046,-0.0075
0.76,2.126,0.041,-0.0083
0.78,2.126,0.042,-0.0202
0.8,2.774,0.036,-0.0332
0.82,3.168,0.036,-0.0332
0.84,3.367,0.03,-0.0384
0.86,3.367,0.025,-0.0408
0.88,3.476,0.019,-0.0395
0.9,3.511,0.019,-0.0395
0.92,3.495,0.012,-0.0374
0.94,3.495,0.009,-0.0365
0.96,3.48,0.008,-0.0361
0.98,3.442,0.009,-0.0355
1.0,3.394,0.009,-0.0355
1.02,3.329,0.01,-0.0347
1.04,3.329,0.012,-0.0342
1.06,3.263,0.013,-0.0335
1.08,3.169,0.013,-0.0335
1.1,2.974,0.015,-0.0263
1.12,2.88,0.016,-0.0247
1.14,2.772,0.016,-0.0227
1.16,2.639,0.018,-0.0211
1.18,2.623,0.019,-0.0207
1.2,2.631,0.022,-0.0284
1.22,2.628,0.024,-0.0516
1.24,2.628,0.024,-0.0516
1.26,1.877,0.023,-0.0323
1.28,1.757,0.022,-0.0474
1.3,1.443,0.021,-0.0544
1.32,1.243,0.021,-0.0591
1.34,1.102,0.022,-0.0609
1.36,1.068,0.022,-0.0591
1.38,1.084,0.023,-0.0573
1.4,1.127,0.025,-0.0554
1.42,1.083,0.026,-0.0539
1.44,1.024,0.03,-0.0568
1.46,0.982,0.033,-0.0598
1.48,0.867,0.035,-0.062
1.5,0.763,0.037,-0.0632
1.52,0.717,0.04,-0.0646
1.54,0.683,0.045,-0.065
1.56,0.64,0.044,-0.0644
1.58,0.646,0.036,-0.0632
1.6,0.646,0.032,-0.0626
1.62,0.627,0.029,-0.0623
1.64,0.608,0.026,-0.0625
1.66,0.593,0.024,-0.0622
1.68,0.619,0.025,-0.0617
1.7,0.653,0.025,-0.062
1.72,0.692,0.025,-0.0621
1.74,0.92,0.025,-0.0615
1.76,1.007,0.027,-0.0609
1.78,1.073,0.027,-0.0603
1.8,1.043,0.031,-0.0617
1.82,1.002,0.032,-0.0619
1.84,0.973,0.031,-0.0618
1.86,0.968,0.03,-0.0618
1.88,0.898,0.029,-0.0619
1.9,0.816,0.029,-0.0632
1.92,0.743,0.03,-0.0633
1.94,0.697,0.03,-0.0629
1.96,0.705,0.027,-0.0621
1.98,0.755,0.026,-0.0614
2.0,0.804,0.024,-0.06
2.02,0.782,0.022,-0.0596
2.04,0.614,0.02,-0.0594
2.06,0.525,0.018,-0.0591
2.08,0.474,0.013,-0.0587
2.1,0.438,0.01,-0.0572
2.12,0.437,0.009,-0.0565
2.14,0.433,0.008,-0.0559
2.16,0.427,0.008,-0.0551
2.18,0.425,0.006,-0.0536
2.2,0.428,0.006,-0.053
2.22,0.466,0.008,-0.0521
2.24,0.466,0.008,-0.0309
2.26,0.466,0.008,-0.0308
2.28,0.488,0.009,-0.0304
2.3,0.487,0.008,-0.0285
2.32,0.541,0.008,-0.025
2.34,0.615,0.009,-0.0231
2.36,0.774,0.009,-0.0208
2.38,1.044,0.01,-0.0181
2.4,1.333,0.013,-0.012
2.42,1.676,0.015,-0.0086
2.44,2.662,0.014,-0.0171
2.46,2.86,0.013,-0.0451
2.48,3.157,0.014,-0.0581
2.5,3.934,0.02,-0.0638
2.52,4.867,0.032,-0.0693
2.54,5.525,0.034,-0.0732
2.56,5.676,0.038,-0.076
2.58,5.624,0.047,-0.0776
2.6,5.436,0.055,-0.0783
2.62,4.919,0.061,-0.079
2.64,4.439,0.059,-0.0793
2.66,4.02,0.045,-0.0792
2.68,3.848,0.047,-0.0793
2.7,4.576,0.058,-0.0791
2.72,4.508,0.055,-0.079
2.74,4.152,0.051,-0.0793
2.76,3.587,0.053,-0.0795
2.78,3.285,0.07,-0.0798
2.8,3.107,0.074,-0.0798
2.82,3.115,0.075,-0.0796
2.84,3.614,0.074,-0.0798
2.86,4.196,0.072,-0.0797
2.88,4.687,0.07,-0.0799
2.9,5.567,0.07,-0.0802
2.92,6.049,0.074,-0.0799
2.94,6.543,0.065,-0.0801
2.96,6.696,0.053,-0.0802
2.98,6.412,0.046,-0.0801
3.0,5.881,0.042,-0.0802
3.02,5.416,0.036,-0.0801
3.04,4.781,0.028,-0.0802
3.06,4.164,0.028,-0.0801
3.08,3.489,0.035,-0.0804
3.1,2.987,0.043,-0.0804
3.12,2.835,0.054,-0.0804
3.14,2.904,0.057,-0.0802
3.16,3.2,0.06,-0.0803
3.18,3.736,0.064,-0.0805
3.2,3.853,0.064,-0.0805
3.22,3.612,0.052,-0.0805
3.24,3.612,0.052,-0.0805
3.26,3.612,0.052,-0.0805
3.28,2.094,0.021,-0.0726
3.3,1.887,0.024,-0.0754
3.32,1.71,0.03,-0.0765
3.34,1.655,0.042,-0.0771
3.36,1.792,0.057,-0.0773
3.38,1.862,0.061,-0.077
3.4,1.733,0.066,-0.0762
3.42,1.534,0.064,-0.0776
3.44,1.432,0.063,-0.0786
3.46,1.567,0.068,-0.0792
3.48,1.948,0.065,-0.0792
3.5,2.287,0.055,-0.0794
3.52,2.275,0.04,-0.0795
3.54,1.927,0.031,-0.0794
3.56,2.054,0.023,-0.0793
3.58,2.373,0.016,-0.0792
3.6,3.207,0.024,-0.079
3.62,3.968,0.023,-0.079
3.64,3.968,0.023,-0.079
3.66,5.545,0.027,-0.0793
3.68,6.133,0.025,-0.0791
3.7,6.68,0.019,-0.0789
3.72,7.543,0.017,-0.0789
3.74,8.0,0.017,-0.0784
3.76,8.552,0.018,-0.0782
3.78,9.306,0.022,-0.0776
3.8,10.129,0.03,-0.077
3.82,10.773,0.033,-0.0766
3.84,11.09,0.036,-0.0763
3.86,11.176,0.039,-0.0761
3.88,11.212,0.041,-0.0757
3.9,11.223,0.043,-0.0754
3.92,11.51,0.046,-0.0749
3.94,12.003,0.049,-0.0745
3.96,12.539,0.052,-0.0739
3.98,12.841,0.051,-0.0737
4.0,12.989,0.05,-0.0734
4.02,13.219,0.051,-0.0731
4.04,13.561,0.055,-0.0727
4.06,14.294,0.059,-0.0726
4.08,14.611,0.063,-0.0723
4.1,14.794,0.067,-0.0719
4.12,14.956,0.07,-0.0715
4.14,15.089,0.072,-0.0713
4.16,15.107,0.074,-0.0709
4.18,15.093,0.076,-0.0705
4.2,15.143,0.081,-0.0699
4.22,15.204,0.083,-0.0695
4.24,15.204,0.079,-0.0564
4.26,15.204,0.076,-0.0554
4.28,14.841,0.076,-0.0544
4.3,15.316,0.076,-0.0537
4.32,15.726,0.075,-0.053
4.34,16.128,0.073,-0.0515
4.36,16.819,0.071,-0.0508
4.38,17.06,0.071,-0.0498
4.4,17.261,0.072,-0.0493
4.42,17.395,0.073,-0.0485
4.44,17.513,0.078,-0.0468
4.46,17.603,0.081,-0.0459
4.48,17.747,0.083,-0.0449
4.5,18.376,0.084,-0.0439
4.52,18.873,0.086,-0.0429
4.54,19.473,0.085,-0.0421
4.56,19.883,0.086,-0.04
4.58,20.211,0.087,-0.039
4.6,20.337,0.088,-0.0378
4.62,20.391,0.092,-0.0366
4.64,20.567,0.094,-0.0356
4.66,21.02,0.1,-0.035
4.68,21.833,0.108,-0.0342
4.7,23.304,0.108,-0.0339
4.72,24.469,0.101,-0.0334
4.74,25.243,0.094,-0.0306
4.76,25.315,0.083,-0.0276
4.78,26.073,0.072,-0.0302
4.8,25.836,0.063,-0.0397
