CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing, NZTM Easting, NZTM Northing, Vs30
3,-43.512321,172.70938,2486512.58,5743861.75,1576509.81,5182249.26,179.045489
4,-43.511633,172.71216,2486737.08,5743938.98,1576734.22,5182326.46,179.916376
23,-43.513992,172.710053,2486567.6,5743676.31,1576564.82,5182063.9,180.412083
24,-43.515311,172.710458,2486600.91,5743529.84,1576598.12,5181917.49,176.632461
25,-43.512257,172.710624,2486613.15,5743869.23,1576610.34,5182256.74,176.932155
29,-43.509731,172.71012,2486571.38,5744149.65,1576568.58,5182537.05,190.174054
30,-43.509829,172.71212,2486733.2,5744139.33,1576730.34,5182526.74,172.528418
31,-43.507378,172.709962,2486557.71,5744411.14,1576554.91,5182798.43,188.29002
32,-43.507463,172.712462,2486759.93,5744402.29,1576757.05,5182789.59,187.580307
155,-43.519004,172.720487,2487413.13,5743122.35,1577410.02,5181510.18,178.42774
156,-43.517779,172.719259,2487313.4,5743258.07,1577310.33,5181645.84,187.840867
157,-43.516529,172.720668,2487426.85,5743397.38,1577423.73,5181785.1,179.894875
159,-43.515173,172.718474,2487248.95,5743547.37,1577245.9,5181935.02,181.589872
162,-43.513046,172.717596,2487177.17,5743783.44,1577174.14,5182171,191.700905
165,-43.510527,172.71724,2487147.44,5744063.25,1577144.42,5182450.7,182.579549
305,-43.494506,172.69741,2485537.51,5745837.55,1575535.09,5184224.26,186.590087
306,-43.496323,172.700396,2485779.75,5745636.58,1575777.24,5184023.37,182.286113
309,-43.489858,172.689257,2484876.17,5746351.59,1574874,5184738.09,202.51994
310,-43.488796,172.689559,2484900.1,5746469.68,1574897.92,5184856.13,180.710445
330,-43.496325,172.700415,2485781.29,5745636.37,1575778.78,5184023.16,185.478332
331,-43.494338,172.698521,2485627.27,5745856.59,1575624.81,5184243.29,195.434464
332,-43.496558,172.698023,2485587.92,5745609.83,1575585.49,5183996.63,189.962982
333,-43.49454,172.69619,2485438.85,5745833.49,1575436.47,5184220.2,208.602395
343,-43.490119,172.693743,2485239.13,5746323.9,1575236.82,5184710.41,198.982206
964,-43.559543,172.680472,2484195.04,5738606.79,1574193.35,5176996.32,182.77344
969,-43.555439,172.686688,2484695.57,5739064.62,1574693.67,5177453.99,176.322684
970,-43.555548,172.687858,2484790.18,5739052.86,1574788.24,5177442.24,185.479874
972,-43.554881,172.688547,2484845.54,5739127.19,1574843.58,5177516.54,182.426059
974,-43.554546,172.695389,2485398.25,5739166.38,1575396.06,5177555.73,181.221298
1441,-43.496479,172.702925,2485984.34,5745620.01,1575981.75,5184006.81,176.885231
1944,-43.510545,172.712782,2486787,5744060,1576784.12,5182447.44,193.372957
2596,-43.507118,172.710229,2486579.17,5744440.06,1576576.36,5182827.34,192.954743
2610,-43.510882,172.712138,2486734.99,5744022.35,1576732.13,5182409.8,192.981081
2611,-43.511753,172.71201,2486724.97,5743925.61,1576722.12,5182313.1,179.556552
2612,-43.512531,172.711829,2486710.64,5743839.08,1576707.8,5182226.6,192.911333
2614,-43.511792,172.711845,2486711.7,5743921.15,1576708.85,5182308.64,188.463005
2615,-43.512988,172.711283,2486666.71,5743788.22,1576663.88,5182175.76,185.654012
2616,-43.512889,172.711684,2486699.04,5743799.28,1576696.2,5182186.82,178.428461
2620,-43.518789,172.711853,2486715.03,5743143.84,1576712.2,5181531.64,195.832983
2621,-43.519724,172.710274,2486587.72,5743039.52,1576584.94,5181427.36,194.401488
2622,-43.519425,172.710595,2486613.52,5743072.81,1576610.73,5181460.64,192.554212
