id, mean_vs30_km_per_s, standard_deviation_vs30_km_per_s, description, comment
0, -9999, -9999, "water", "not used | id 00 in Ahdi et al. (2017ab) | -9999 used as a placeholder"
1, 162.892120019443, 0.301033220758108, "peat", "id 01 in Ahdi et al. (2017ab)"
2, 272.512711921894, 0.280305955290694, "fill", "id 04 in Ahdi et al. (2017ab)"
3, 199.502400319993, 0.438753673163297, "fluvial estuarine", "id 05 in Ahdi et al. (2017ab)"
4, 271.050623687222, 0.243486579272276, "alluvium", "id 06 in Ahdi et al. (2017ab)"
5, 326, 0.5, "lacustrine", "id 08 in Ahdi et al. (2017ab)"
6, 204.373998521848, 0.232196981798137, "beach bar dune", "id 09 in Ahdi et al. (2017ab)"
7, 246.6138371423, 0.344601218802256, "fan", "id 10 in Ahdi et al. (2017ab)"
8, 472.749388885179, 0.354562104171167, "loess", "id 11 in Ahdi et al. (2017ab)"
9, 399, 0.5, "outwash", "id 12 in Ahdi et al. (2017ab)"
10, 197.472849225266, 0.202629769603115, "flood plain", "id 13 in Ahdi et al. (2017ab)"
11, 453, 0.512, "moraine till", "id 14 in Ahdi et al. (2017ab)"
12, 455, 0.545, "undifferentiated sediment", "id 15 in Ahdi et al. (2017ab)"
13, 335.279503497185, 0.602886888230288, "terrace", "id 16 in Ahdi et al. (2017ab)"
14, 635, 0.995, "volcanic", "id 17 in Ahdi et al. (2017ab)"
15, 690.974348966211, 0.446036993981441, "crystalline", "id 18 in Ahdi et al. (2017ab)"
