id, mean_vs30_km_per_s, standard_deviation_vs30_km_per_s, description, comment
0, -32767, -32767, "water", "not used | id 00 in Ahdi et al. (2017ab) | -32767 used as a placeholder"
1, 161, 0.522, "peat", "id 01 in Ahdi et al. (2017ab)"
2, 198, 0.314, "fill", "id 04 in Ahdi et al. (2017ab)"
3, 239, 0.867, "fluvial estuarine", "id 05 in Ahdi et al. (2017ab)"
4, 323, 0.365, "alluvium", "id 06 in Ahdi et al. (2017ab)"
5, 326, 0.135, "lacustrine", "id 08 in Ahdi et al. (2017ab)"
6, 339, 0.647, "beach bar dune", "id 09 in Ahdi et al. (2017ab)"
7, 360, 0.338, "fan", "id 10 in Ahdi et al. (2017ab)"
8, 376, 0.380, "loess", "id 11 in Ahdi et al. (2017ab)"
9, 399, 0.305, "outwash", "id 12 in Ahdi et al. (2017ab)"
10, 448, 0.432, "flood plain", "id 13 in Ahdi et al. (2017ab)"
11, 453, 0.512, "moraine till", "id 14 in Ahdi et al. (2017ab)"
12, 455, 0.545, "undifferentiated sediment", "id 15 in Ahdi et al. (2017ab)"
13, 458, 0.761, "terrace", "id 16 in Ahdi et al. (2017ab)"
14, 635, 0.995, "volcanic", "id 17 in Ahdi et al. (2017ab)"
15, 750, 0.641, "crystalline", "id 18 in Ahdi et al. (2017ab)"
