id, mean_vs30_km_per_s, standard_deviation_vs30_km_per_s, description, comment
1, 519, 0.3521, "Well dissected alpine summits, mountains, etc.",
2, 393, 0.4161, "Large volcano, high block plateaus, etc.",
3, 547, 0.4695, "Well dissected, low mountains, etc.",
4, 459, 0.3540, "Volcanic fan, foot slope of high block plateaus, etc.",
5, 402, 0.3136, "Dissected plateaus, etc.",
6, 345, 0.2800, "Basalt lava plain, glaciated plateau, etc.",
7, 388, 0.4161, "Moderately eroded mountains, lava flow, etc.",
8, 374, 0.3249, "Desert alluvial slope, volcanic fan, etc.",
9, 497, 0.3516, "Well eroded plain of weak rocks, etc.",
10, 349, 0.2800, "Valley, till plain, etc.",
11, 328, 0.2736, "Eroded plain of weak rocks, etc.",
12, 297, 0.2931, "Desert plain, delta plain, etc.",
13, 500, 0.5, "Incised terrace, etc.", "Mean and standard deviation estimated were estimated by Kevin Foster"
14, 209, 0.1749, "Eroded alluvial fan, till plain, etc.",
15, 363, 0.2800, "Dune, incised terrace, etc.",
16, 246, 0.2206, "Fluvial plain, alluvial fan, low-lying flat plains, etc.",
