index,easting,northing,vs30,uncertainty,source
0,1.5764672e+06,5.1812625e+06,184.62537,0.5,cpt
1,1.5706816e+06,5.180753e+06,166.26828,0.5,cpt
3,1.573105e+06,5.17927e+06,159.10588,0.5,cpt
4,1.57315e+06,5.179295e+06,187.60077,0.5,cpt
5,1.57316e+06,5.17941e+06,187.29077,0.5,cpt
6,1.5741192e+06,5.177888e+06,186.3933,0.5,cpt
7,1.5704692e+06,5.187186e+06,157.44801,0.5,cpt
8,1.576583e+06,5.182912e+06,200.3916,0.5,cpt
9,1.5660296e+06,5.1758925e+06,178.41258,0.5,cpt
10,1.87406e+06,5.8171735e+06,129.23026,0.5,cpt
12,1.7926892e+06,5.8265325e+06,165.53217,0.5,cpt
13,1.571192e+06,5.186865e+06,177.85574,0.5,cpt
14,1.570698e+06,5.186853e+06,210.96709,0.5,cpt
16,1.7479919e+06,5.925623e+06,131.95085,0.5,cpt
17,1.5740104e+06,5.1789855e+06,186.7924,0.5,cpt
18,1.5697e+06,5.188217e+06,227.97533,0.5,cpt
19,1.5737195e+06,5.1820915e+06,190.13925,0.5,cpt
20,1.5726218e+06,5.1811995e+06,161.07153,0.5,cpt
21,1.5760774e+06,5.1753925e+06,174.45561,0.5,cpt
22,1.5692512e+06,5.179617e+06,154.85176,0.5,cpt
23,1.8042569e+06,5.8103075e+06,139.20927,0.5,cpt
24,1.8046992e+06,5.811231e+06,149.09535,0.5,cpt
25,1.8044142e+06,5.8126595e+06,187.63644,0.5,cpt
26,1.5711419e+06,5.18656e+06,168.85027,0.5,cpt
27,1.5590702e+06,5.16704e+06,185.70038,0.5,cpt
28,1.5768201e+06,5.183809e+06,206.72958,0.5,cpt
29,1.88066e+06,5.826927e+06,165.50546,0.5,cpt
30,1.8811071e+06,5.826901e+06,135.77583,0.5,cpt
31,1.5770549e+06,5.183688e+06,191.95871,0.5,cpt
32,1.569528e+06,5.183337e+06,125.391174,0.5,cpt
33,1.5728704e+06,5.181208e+06,147.50966,0.5,cpt
34,1.5611046e+06,5.168892e+06,200.22926,0.5,cpt
35,1.5745889e+06,5.180706e+06,187.66528,0.5,cpt
36,1.5767725e+06,5.1841495e+06,194.4849,0.5,cpt
37,1.5786614e+06,5.180107e+06,201.84567,0.5,cpt
38,1.5755128e+06,5.181557e+06,198.97368,0.5,cpt
39,1.5722718e+06,5.18168e+06,170.82782,0.5,cpt
40,1.5728715e+06,5.1791595e+06,184.29768,0.5,cpt
41,1.570776e+06,5.186432e+06,217.92163,0.5,cpt
42,1.569405e+06,5.182778e+06,170.99329,0.5,cpt
43,1.571308e+06,5.186973e+06,184.01482,0.5,cpt
44,1.571188e+06,5.187019e+06,162.84274,0.5,cpt
45,1.5787806e+06,5.177267e+06,178.70105,0.5,cpt
46,1.5714946e+06,5.180784e+06,212.10167,0.5,cpt
47,1.572449e+06,5.1776275e+06,197.8295,0.5,cpt
48,1.7486266e+06,5.9705805e+06,131.44562,0.5,cpt
49,1.5734779e+06,5.1890335e+06,157.9029,0.5,cpt
50,1.572061e+06,5.178637e+06,81.26297,0.5,cpt
51,1.570624e+06,5.188734e+06,134.22284,0.5,cpt
52,1.569562e+06,5.182654e+06,189.2449,0.5,cpt
53,1.4525541e+06,5.2980445e+06,190.56747,0.5,cpt
54,1.5714511e+06,5.178818e+06,153.62111,0.5,cpt
56,1.5751072e+06,5.1774745e+06,173.1595,0.5,cpt
57,1.5709384e+06,5.1797245e+06,233.38391,0.5,cpt
59,1.5706965e+06,5.1818035e+06,183.68665,0.5,cpt
60,1.7622219e+06,5.9175145e+06,154.5095,0.5,cpt
61,1.56853e+06,5.182682e+06,149.32098,0.5,cpt
62,1.5701528e+06,5.178585e+06,138.89926,0.5,cpt
64,1.569049e+06,5.18291e+06,180.10312,0.5,cpt
67,1.5758854e+06,5.195952e+06,190.5163,0.5,cpt
68,1.572132e+06,5.178891e+06,147.00543,0.5,cpt
69,1.5708742e+06,5.1786925e+06,160.50485,0.5,cpt
70,1.56881e+06,5.182183e+06,211.75975,0.5,cpt
71,1.748865e+06,5.425929e+06,165.4519,0.5,cpt
72,1.751563e+06,5.950294e+06,143.55292,0.5,cpt
73,1.5753261e+06,5.1946515e+06,189.652,0.5,cpt
74,1.567446e+06,5.176944e+06,163.77118,0.5,cpt
75,1.9368394e+06,5.6232275e+06,213.5574,0.5,cpt
76,1.569579e+06,5.181373e+06,200.07121,0.5,cpt
77,1.9320911e+06,5.6202315e+06,149.28867,0.5,cpt
78,1.9323749e+06,5.619986e+06,117.91183,0.5,cpt
79,1.9342946e+06,5.62119e+06,171.15404,0.5,cpt
80,1.9311035e+06,5.603608e+06,160.43842,0.5,cpt
81,1.9313119e+06,5.6036355e+06,154.93068,0.5,cpt
82,1.9315409e+06,5.603402e+06,158.64986,0.5,cpt
83,1.576887e+06,5.183504e+06,194.07582,0.5,cpt
